agegroup,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
0-4,39280.9,52160.6,48998.3,57792.8,68481.4,65085.9,51454.0,53210.3,68970.9,57013.2,42453.1,40597.9,42464.3,44648.4
5-9,30278.6,36298.5,48531.1,45521.2,55250.9,66726.4,63967.5,50829.4,52638.3,68337.1,56586.7,42215.8,40441.9,42351.4
10-14,29199.6,29132.1,35171.6,47025.4,44988.4,54743.3,66264.1,63626.0,50594.1,52430.3,68120.6,56434.1,42110.9,40360.6
15-19,27530.3,28343.7,28387.5,34227.1,46557.2,44663.5,54471.0,65986.4,63381.5,50372.5,52241.3,67845.8,56201.6,41955.1
20-24,23969.5,26651.8,27516.9,27514.1,33769.7,46130.7,44386.7,54172.6,65651.7,62998.3,50098.2,51841.8,67421.6,55903.8
25-29,20698.0,23152.8,25789.5,26621.8,27053.8,33372.4,45780.8,44089.2,53831.3,65182.9,62596.2,49650.6,51413.4,67023.7
30-34,20522.3,19956.1,22343.7,24870.8,26070.3,26687.8,33054.2,45422.0,43762.6,53394.0,64710.0,62050.4,49208.8,51054.3
35-39,18399.0,19649.4,19124.3,21382.2,24234.7,25654.7,26378.9,32725.0,45008.3,43342.4,52934.8,64088.2,61488.2,48839.9
40-44,16384.4,17286.2,18523.7,18021.4,20654.9,23741.0,25264.7,26017.2,32305.0,44437.0,42849.9,52313.1,63410.1,60953.9
45-49,14813.5,14887.1,15865.0,17024.8,17190.8,20021.6,23218.3,24762.5,25547.0,31739.2,43726.6,42217.9,51596.3,62659.0
50-54,12134.2,13046.9,13153.7,14032.6,15951.4,16338.4,19293.7,22461.3,24061.4,24832.9,30907.1,42800.7,41380.3,50642.4
55-59,10611.4,10240.5,10804.7,10895.2,12721.7,14691.8,15366.0,18256.6,21407.4,22923.1,23719.5,29838.3,41442.6,40116.5
60-64,7921.2,8136.0,7681.0,8155.3,9262.5,11092.3,13254.7,13994.3,16783.3,19725.1,21259.0,22306.0,28181.4,39208.5
65-69,5579.1,5323.2,5380.6,5158.0,6301.1,7462.9,9319.0,11343.3,12157.6,14567.2,17287.4,19029.1,20100.6,25428.5
70-74,2897.9,3201.6,2909.0,3016.4,3588.9,4600.3,5658.6,7214.9,9030.8,9563.5,11564.6,14200.1,15792.8,16760.5
75-79,1388.2,1265.0,1242.1,1266.3,1802.9,2235.6,2949.9,3708.0,4834.2,6114.9,6524.1,8200.3,10230.7,11562.6
80+,447.0,511.7,363.4,461.5,738.5,1117.8,1427.3,1936.1,2540.9,3586.8,4795.4,5779.7,7370.8,9508.0
