country,region
Afghanistan,Afghanistan
Albania,Albania
Algeria,Algeria
Angola,Angola
Argentina,Argentina
Australia,Australia
Austria,Austria
Bahrain,Bahrain
Bangladesh,Bangladesh
Belgium,Belgium
Benin,Benin
Bolivia,Bolivia
Bosnia and Herzegovina,Bosnia and Herzegovina
Botswana,Botswana
Brazil,Brazil
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Burundi,Burundi
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Central African Republic,Central African Republic
Chad,Chad
Chile,Chile
China,China
Colombia,Colombia
Comoros,Comoros
"Congo, Dem. Rep.",Democratic Republic of the Congo
"Congo, Rep.",Republic of Congo
Costa Rica,Costa Rica
Cote d'Ivoire,Ivory Coast
Croatia,Croatia
Cuba,Cuba
Czech Republic,Czech Republic
Denmark,Denmark
Djibouti,Djibouti
Dominican Republic,Dominican Republic
Ecuador,Ecuador
Egypt,Egypt
El Salvador,El Salvador
Equatorial Guinea,Equatorial Guinea
Eritrea,Eritrea
Ethiopia,Ethiopia
Finland,Finland
France,France
Gabon,Gabon
Gambia,Gambia
Germany,Germany
Ghana,Ghana
Greece,Greece
Guatemala,Guatemala
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Haiti,Haiti
Honduras,Honduras
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
Iran,Iran
Iraq,Iraq
Ireland,Ireland
Israel,Israel
Italy,Italy
Jamaica,Jamaica
Japan,Japan
Jordan,Jordan
Kenya,Kenya
"Korea, Dem. Rep.",North Korea
"Korea, Rep.",South Korea
Kuwait,Kuwait
Lebanon,Lebanon
Lesotho,Lesotho
Liberia,Liberia
Libya,Libya
Madagascar,Madagascar
Malawi,Malawi
Malaysia,Malaysia
Mali,Mali
Mauritania,Mauritania
Mauritius,Mauritius
Mexico,Mexico
Mongolia,Mongolia
Montenegro,Montenegro
Morocco,Morocco
Mozambique,Mozambique
Myanmar,Myanmar
Namibia,Namibia
Nepal,Nepal
Netherlands,Netherlands
New Zealand,New Zealand
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
Norway,Norway
Oman,Oman
Pakistan,Pakistan
Panama,Panama
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Puerto Rico,Puerto Rico
Reunion,Reunion
Romania,Romania
Rwanda,Rwanda
Sao Tome and Principe,Sao Tome and Principe
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Serbia,Serbia
Sierra Leone,Sierra Leone
Singapore,Singapore
Slovak Republic,Slovakia
Slovenia,Slovenia
Somalia,Somalia
South Africa,South Africa
Spain,Spain
Sri Lanka,Sri Lanka
Sudan,Sudan
Swaziland,Swaziland
Sweden,Sweden
Switzerland,Switzerland
Syria,Syria
Taiwan,Taiwan
Tanzania,Tanzania
Thailand,Thailand
Togo,Togo
Trinidad and Tobago,Trinidad
Trinidad and Tobago,Tobago
Tunisia,Tunisia
Turkey,Turkey
Uganda,Uganda
United Kingdom,UK
United States,USA
Uruguay,Uruguay
Venezuela,Venezuela
Vietnam,Vietnam
West Bank and Gaza,Palestine
"Yemen, Rep.",Yemen
Zambia,Zambia
Zimbabwe,Zimbabwe
