"Var1","Freq"
"星环科技",37
"联储证券",28
"培高连锁",28
"滴滴打车",25
"兔狗科技",25
"Manpower",21
"百度",21
"弘毅国学",21
"优胜教育",21
"滴滴出行",20
"货圈全",20
"去哪儿网",20
"雄鹰教育",19
"浙江外服",19
"智者品牌管理",19
"德凯中国",18
"巨峰科技",18
"兰亭集势",18
"PPTV聚力",17
"暴风",17
"格灵深瞳",17
"三星研究院",17
"小米电视",17
"卓望公司",17
"凤凰网",16
"学大教育",16
"赢在起点早教",16
"北纬通信",15
"河狸家",15
"互动百科",15
"睿禾智",15
"一起作业网",15
"博彦科技",14
"麦德龙",14
"优可音乐英语",14
"北京优胜教育",13
"贝尔机器人",13
"东软集团",13
"敦煌网",13
"萌想科技",13
"索尼（中国）",13
"招商蛇口",13
"RCC瑞达恒",12
"飞利浦",12
"汉兴",12
"恒生电子",12
"聚思鸿",12
"企优托",12
"上海洛基英语",12
"猿辅导",12
"58同城",11
"北京银库",11
"法兴华宝",11
"丰立装饰",11
"广联达",11
"沪江网",11
"品驰",11
"上海璞锐，Prime Research",11
"上海时年",11
"搜狐",11
"网易有道",11
"虚拟世界科技",11
"360教育在线",10
"TCL多媒体",10
"UC浏览器",10
"ZARA",10
"埃科人才",10
"北京金科学校",10
"博世",10
"德国大陆汽车",10
"海基科技",10
"华恒智信",10
"京东",10
"久游网",10
"快手",10
"蓝色光标传播集团",10
"赛诺菲",10
"上书房信息咨询",10
"世纪金源集团",10
"优衣库",10
"自如网",10
"JusTalk",9
"爱上租",9
"奥雅设计",9
"拜耳",9
"棒谷",9
"贝尔科教集团",9
"法国优格",9
"今日排行榜",9
"麦可思",9
"美特斯邦威",9
"珠江智联",9
"OBIKE",8
"安泰",8
"百胜餐饮集团",8
"达人网",8
"大陆汽车",8
"戴德梁行",8
"当地在线",8
"德绚集团",8
