NAME,province,zhibiao
北京市,北京,13.80577279
天津市,天津,9.521158556
河北省,河北,9.156594321
山西省,山西,7.968109638
内蒙古自治区,内蒙古自治,5.296706557
辽宁省,辽宁,6.696891793
吉林省,吉林,8.370397726
黑龙江省,黑龙江,7.774039742
上海市,上海,12.93496302
江苏省,江苏,7.289044766
浙江省,浙江,9.0792465
安徽省,安徽,8.27825299
福建省,福建,10.11440556
江西省,江西,8.30987069
山东省,山东,6.990207103
河南省,河南,7.562738142
湖北省,湖北,8.483657885
湖南省,湖南,6.171609252
广东省,广东,10.22475435
广西壮族自治区,广西,8.155430257
海南省,海南,14.58351006
重庆市,重庆,7.476836278
四川省,四川,8.769545949
贵州省,贵州,7.948682192
云南省,云南,9.459637893
西藏自治区,西藏,8.825473507
陕西省,陕西,8.764597602
甘肃省,甘肃,10.27654365
青海省,青海,8.04606424
宁夏回族自治区,宁夏,6.942084091
新疆维吾尔自治区,新疆,7.430997247
台湾省,台湾,#N/A
香港待别行政区,香港,#N/A
