NAME_2,city,zhibiao,,,,,
Enshi Tujia and Miao,恩施州,0.92,,,,,
Ezhou,鄂州市,0.19,,,,,
Huanggang,黄冈市,0.09,,,,,
Huangshi,黄石市,0.41,,,,,
Jingmen,荆门市,0.63,,,,,
Jingzhou,荆州市,0.52,,,,,
Qianjiang,潜江市,0.29,,,,,                                                 
Shennongjia,神农架林区,0.17,,,,,                                       
Shiyan,十堰市,0.6,,,,,      
Suizhou Shi,随州市,0.86,,,,,
Tianmen,天门市,0.62,,,,,
Wuhan,武汉市,0.3,,,,,
Xiangfan,襄樊市,0.55,,,,,
Xianning,咸宁市,0.08,,,,,
Xiantao,仙桃市,0.11,,,,,
Xiaogan,孝感市,0.26,,,,,
Yichang,宜昌市,0.34,,,,,
